name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
2010 Maruti Suzuki (Maruti Suzuki),13.0,personal,Manual -  2WD,Unknown,2010.0,15.0,1200.0,Petrol,177315.0,No Warranty,Sedan
Cargo maruti (Maruti Suzuki),5.0,Carring goods,Manual 4WD,White,2015.0,15.0,800.0,Petrol,40000.0,No,Hatchback
"2015 model swift zxi singlehanded sale,exng bike (Maruti Suzuki)",22.5,personal,Manual 2WD,Silver,2015.0,15.0,1200.0,Petrol,46000.0,No Warranty,Sedan
FINANCE PANI Hatti Gadi Urgent Sell 9849193421 (Tata),11.0,delevery,Manual 4WD,White,2018.0,16.0,1405.0,Diesel,95000.0,no,Sedan
Hyundai i20 asta 2010 (Hyundai),15.25,personal,Manual -  2WD,Other,2010.0,15.0,1198.0,Petrol,122282.0,No Warranty,Sedan
Nissan Magnite XV Dual (Nissan),40.34,personal,Manual -  2WD,Unknown,2023.0,18.0,999.0,Petrol,12774.0,No Warranty,Hatchback
"2016 Swift Dezire Vxi Sale, Exchange, Finance (Maruti Suzuki)",20.75,Private,Manual -  2WD,Brown,2016.0,16.0,1200.0,Petrol,47000.0,No Warranty,Sedan
santro xing (Hyundai),6.5,personal,Manual,Other,2001.0,15.0,1000.0,Petrol,80000.0,No Warranty,Sedan
GRAND I 10 Magna 1.2 (Hyundai),25.5,personal,Manual -  4WD,Silver,2019.0,15.0,1196.0,Petrol,17000.0,No Warranty,Sedan
Puegot (Other Brands),5.0,personal,Manual -  2WD,Other,2001.0,12.0,2800.0,Petrol,90000.0,No Warranty,SUV
Volswagen CrossPolo (Volkswagen),20.5,personal,Manual -  2WD,Black,2015.0,15.0,1600.0,Petrol,35000.0,No Warranty,Sedan
Fiat Aventura (Fiat),15.5,personal,Manual -  2WD,White,2015.0,13.0,1400.0,Petrol,35000.0,No Warranty,Sedan
Hyundai Creta Sx top variant (Hyundai),45.75,personal,Manual -  2WD,White,2019.0,15.0,1500.0,Petrol,38000.0,No Warranty,Sedan
Ecosport ford Ambient (Ford),22.5,personal,Manual -  2WD,Other,2016.0,12.0,5000.0,Petrol,50000.0,No Warranty,SUV
S Hyundai i20 Active (Hyundai),28.65,personal,Manual -  2WD,Other,2017.0,15.0,1197.0,Petrol,35000.0,No Warranty,Sedan
Top variant Hyundai i 20 Active (Hyundai),29.0,personal,Manual -  2WD,White,2017.0,15.0,1200.0,Petrol,38000.0,No Warranty,Sedan
